Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,Country,State,City,Region,Product ID,Category,Sub Category,Product Name,Quantity,Unit Price,Discount,Sales,Cost,Profit,Profit Margin,Payment Mode,Shipping Mode
ORD-20230001,2023-05-10,2023-05-15,CUST-2855,Customer 2855,Corporate,Australia,State_23,City_23,West,PROD-TEC-3804,Technology,Machines,Machines Product 44,4,277.15,0.27,809.28,417.47,391.81,0.4841,Debit Card,Same Day
ORD-20230002,2024-11-17,2024-11-19,CUST-7957,Customer 7957,Consumer,Canada,State_48,City_22,Central,PROD-FUR-8112,Furniture,Labels,Labels Product 13,12,380.6,0.15,3882.12,2630.46,1251.66,0.3224,Debit Card,Standard Class
ORD-20230003,2023-05-14,2023-05-21,CUST-2604,Customer 2604,Consumer,France,State_9,City_1,East,PROD-OFF-9733,Office Supplies,Paper,Paper Product 10,15,384.36,0.03,5592.44,2488.42,3104.02,0.555,Cash on Delivery,Second Class
ORD-20230004,2023-09-07,2023-09-13,CUST-8826,Customer 8826,Home Office,France,State_43,City_50,North,PROD-FUR-9398,Furniture,Chairs,Chairs Product 14,13,463.52,0.04,5784.73,3213.06,2571.67,0.4446,Credit Card,First Class
ORD-20230005,2024-08-02,2024-08-04,CUST-6889,Customer 6889,Consumer,United Kingdom,State_3,City_36,East,PROD-TEC-7843,Technology,Machines,Machines Product 2,2,213.97,0.11,380.87,245.35,135.52,0.3558,Credit Card,Second Class
ORD-20230006,2023-09-08,2023-09-10,CUST-4913,Customer 4913,Corporate,United Kingdom,State_15,City_8,South,PROD-OFF-9836,Office Supplies,Paper,Paper Product 31,6,56.54,0.21,268.0,133.97,134.03,0.5001,Credit Card,Standard Class
ORD-20230007,2023-10-03,2023-10-07,CUST-6425,Customer 6425,Home Office,Canada,State_38,City_89,East,PROD-FUR-6623,Furniture,Bookcases,Bookcases Product 30,10,349.6,0.19,2831.76,2043.05,788.71,0.2785,Cash on Delivery,Standard Class
ORD-20230008,2024-11-02,2024-11-09,CUST-1465,Customer 1465,Consumer,United Kingdom,State_47,City_99,South,PROD-OFF-5677,Office Supplies,Paper,Paper Product 24,6,307.85,0.2,1477.68,919.37,558.31,0.3778,Credit Card,Second Class
ORD-20230009,2025-04-20,2025-04-27,CUST-2430,Customer 2430,Consumer,Australia,State_24,City_67,West,PROD-TEC-7673,Technology,Accessories,Accessories Product 26,6,382.92,0.29,1631.24,1177.83,453.41,0.278,Credit Card,First Class
ORD-20230010,2023-12-14,2023-12-16,CUST-3217,Customer 3217,Home Office,Australia,State_50,City_95,North,PROD-FUR-4881,Furniture,Tables,Tables Product 1,12,128.19,0.2,1230.62,689.97,540.65,0.4393,Debit Card,First Class
ORD-20230011,2025-12-07,2025-12-13,CUST-9443,Customer 9443,Corporate,United Kingdom,State_14,City_19,East,PROD-OFF-1914,Office Supplies,Appliances,Appliances Product 33,11,407.78,0.19,3633.32,2353.33,1279.99,0.3523,Cash on Delivery,Second Class
ORD-20230012,2023-04-27,2023-05-04,CUST-8872,Customer 8872,Home Office,United Kingdom,State_1,City_44,North,PROD-OFF-4363,Office Supplies,Supplies,Supplies Product 26,11,370.37,0.15,3462.96,2745.36,717.6,0.2072,Credit Card,Same Day
ORD-20230013,2024-04-08,2024-04-11,CUST-6485,Customer 6485,Consumer,France,State_49,City_87,Central,PROD-FUR-3654,Furniture,Tables,Tables Product 24,6,122.68,0.1,662.47,444.81,217.66,0.3286,Bank Transfer,Second Class
ORD-20230014,2025-01-11,2025-01-17,CUST-7455,Customer 7455,Consumer,United States,State_8,City_95,West,PROD-OFF-4405,Office Supplies,Paper,Paper Product 37,11,474.1,0.15,4432.84,2322.13,2110.71,0.4762,PayPal,Standard Class
ORD-20230015,2025-05-11,2025-05-14,CUST-7212,Customer 7212,Consumer,United States,State_28,City_77,South,PROD-OFF-3112,Office Supplies,Art,Art Product 31,7,311.32,0.13,1895.94,1380.89,515.05,0.2717,Bank Transfer,Same Day
ORD-20230016,2023-08-11,2023-08-18,CUST-1723,Customer 1723,Consumer,United Kingdom,State_32,City_69,North,PROD-TEC-4583,Technology,Copiers,Copiers Product 38,1,499.02,0.23,384.25,231.32,152.93,0.398,Debit Card,Standard Class
ORD-20230017,2023-08-04,2023-08-11,CUST-2126,Customer 2126,Consumer,United States,State_12,City_84,North,PROD-OFF-5130,Office Supplies,Appliances,Appliances Product 50,6,190.2,0.01,1129.79,474.43,655.36,0.5801,Debit Card,Standard Class
ORD-20230018,2024-07-17,2024-07-20,CUST-7326,Customer 7326,Corporate,Australia,State_5,City_18,West,PROD-FUR-4122,Furniture,Chairs,Chairs Product 42,13,88.56,0.21,909.51,670.09,239.42,0.2632,Credit Card,Same Day
ORD-20230019,2023-04-25,2023-05-02,CUST-2677,Customer 2677,Corporate,Canada,State_46,City_25,West,PROD-TEC-1462,Technology,Machines,Machines Product 40,14,245.19,0.29,2437.19,1425.18,1012.01,0.4152,Cash on Delivery,Same Day
ORD-20230020,2025-09-15,2025-09-16,CUST-9547,Customer 9547,Consumer,Australia,State_1,City_76,South,PROD-FUR-5539,Furniture,Bookcases,Bookcases Product 34,9,372.35,0.17,2781.45,1127.28,1654.17,0.5947,Cash on Delivery,First Class
ORD-20230021,2023-04-11,2023-04-14,CUST-2304,Customer 2304,Consumer,United States,State_19,City_34,North,PROD-OFF-6141,Office Supplies,Storage,Storage Product 42,2,249.05,0.03,483.16,240.26,242.9,0.5027,Credit Card,First Class
ORD-20230022,2024-11-08,2024-11-15,CUST-7722,Customer 7722,Home Office,Germany,State_33,City_5,East,PROD-OFF-9678,Office Supplies,Storage,Storage Product 9,2,171.48,0.25,257.22,117.47,139.75,0.5433,Cash on Delivery,Standard Class
ORD-20230023,2025-06-23,2025-06-24,CUST-2498,Customer 2498,Home Office,United States,State_41,City_52,Central,PROD-TEC-6208,Technology,Copiers,Copiers Product 13,12,70.29,0.02,826.61,403.43,423.18,0.5119,Credit Card,Standard Class
ORD-20230024,2024-05-04,2024-05-11,CUST-2835,Customer 2835,Corporate,Australia,State_5,City_2,East,PROD-FUR-3682,Furniture,Tables,Tables Product 34,13,168.12,0.17,1814.01,989.49,824.52,0.4545,Credit Card,Standard Class
ORD-20230025,2025-03-22,2025-03-29,CUST-3427,Customer 3427,Home Office,United States,State_20,City_85,East,PROD-FUR-6982,Furniture,Chairs,Chairs Product 39,2,72.5,0.07,134.85,90.91,43.94,0.3258,PayPal,First Class
ORD-20230026,2023-12-07,2023-12-12,CUST-1951,Customer 1951,Home Office,Canada,State_46,City_6,East,PROD-FUR-8178,Furniture,Tables,Tables Product 44,14,493.8,0.07,6429.28,3578.11,2851.17,0.4435,Debit Card,Standard Class
ORD-20230027,2024-10-06,2024-10-11,CUST-5690,Customer 5690,Consumer,United Kingdom,State_17,City_97,South,PROD-FUR-8172,Furniture,Furnishings,Furnishings Product 32,8,183.58,0.29,1042.73,493.76,548.97,0.5265,Bank Transfer,Second Class
ORD-20230028,2023-03-04,2023-03-10,CUST-4691,Customer 4691,Corporate,Canada,State_31,City_100,East,PROD-TEC-4977,Technology,Machines,Machines Product 25,12,82.25,0.29,700.77,305.83,394.94,0.5636,PayPal,Second Class
ORD-20230029,2023-09-02,2023-09-03,CUST-5506,Customer 5506,Home Office,Germany,State_42,City_86,East,PROD-FUR-6281,Furniture,Chairs,Chairs Product 19,12,163.81,0.19,1592.23,959.09,633.14,0.3976,PayPal,Standard Class
ORD-20230030,2023-08-06,2023-08-12,CUST-2736,Customer 2736,Home Office,France,State_29,City_31,East,PROD-OFF-4795,Office Supplies,Art,Art Product 48,15,105.59,0.14,1362.11,912.66,449.45,0.33,Credit Card,First Class
ORD-20230031,2025-01-21,2025-01-27,CUST-1800,Customer 1800,Consumer,Australia,State_26,City_98,Central,PROD-TEC-8074,Technology,Phones,Phones Product 25,12,287.53,0.15,2932.81,1883.98,1048.83,0.3576,Debit Card,Same Day
ORD-20230032,2023-08-18,2023-08-25,CUST-4304,Customer 4304,Home Office,France,State_1,City_41,South,PROD-TEC-4948,Technology,Accessories,Accessories Product 13,8,310.2,0.15,2109.36,957.36,1152.0,0.5461,Bank Transfer,Standard Class
ORD-20230033,2024-09-27,2024-10-02,CUST-8618,Customer 8618,Home Office,Germany,State_49,City_22,West,PROD-OFF-5311,Office Supplies,Paper,Paper Product 28,7,485.0,0.26,2512.3,1885.87,626.43,0.2493,Debit Card,First Class
ORD-20230034,2023-06-29,2023-07-05,CUST-7839,Customer 7839,Consumer,Canada,State_50,City_17,East,PROD-OFF-2489,Office Supplies,Supplies,Supplies Product 25,14,296.72,0.05,3946.38,1777.0,2169.38,0.5497,PayPal,First Class
